Airline_Code,SourceAirportCityCountry,DestinationAirportCityCountry
2K,"Guayaquil" "Ecuador","Bogota" "Colombia"
2K,"Guayaquil" "Ecuador","Cali" "Colombia"
2K,"Guayaquil" "Ecuador","San Crist?bal" "Ecuador"
2K,"Guayaquil" "Ecuador","Quito" "Ecuador"
2K,"Coca" "Ecuador","Quito" "Ecuador"
2K,"San Crist?bal" "Ecuador","Guayaquil" "Ecuador"
2K,"Quito" "Ecuador","Bogota" "Colombia"
2K,"Quito" "Ecuador","Guayaquil" "Ecuador"
2K,"Quito" "Ecuador","Coca" "Ecuador"
2L,"Brindisi" "Italy","Zurich" "Switzerland"
2L,"Bordeaux" "France","Zurich" "Switzerland"
2L,"Bristol" "United Kingdom","Zurich" "Switzerland"
2L,"Geneva" "Switzerland","Gran Canaria" "Spain"
2L,"Larnaca" "Cyprus","Zurich" "Switzerland"
2L,"Gran Canaria" "Spain","Zurich" "Switzerland"
2L,"Marsa Alam" "Egypt","Zurich" "Switzerland"
2L,"Tenerife" "Spain","Geneva" "Switzerland"
2L,"Zurich" "Switzerland","Brindisi" "Italy"
2L,"Zurich" "Switzerland","Bordeaux" "France"
2L,"Zurich" "Switzerland","Bristol" "United Kingdom"
2L,"Zurich" "Switzerland","Larnaca" "Cyprus"
2L,"Zurich" "Switzerland","Gran Canaria" "Spain"
2L,"Zurich" "Switzerland","Marsa Alam" "Egypt"
2N,"Arvidsjaur" "Sweden","Lycksele" "Sweden"
2N,"Stockholm" "Sweden","Gallivare" "Sweden"
2N,"Stockholm" "Sweden","Halmstad" "Sweden"
2N,"Stockholm" "Sweden","Joenkoeping" "Sweden"
2N,"Stockholm" "Sweden","Kramfors" "Sweden"
2N,"Stockholm" "Sweden","Karlstad" "Sweden"
2N,"Stockholm" "Sweden","Lycksele" "Sweden"
2N,"Stockholm" "Sweden","Mariehamn" "Finland"
2N,"Stockholm" "Sweden","Ornskoldsvik" "Sweden"
2N,"Stockholm" "Sweden","Pori" "Finland"
2N,"Stockholm" "Sweden",null null
2N,"Stockholm" "Sweden","Visby" "Sweden"
2N,"Stockholm" "Sweden","Vilhelmina" "Sweden"
