Airline_Code,SourceAirportCityCountry,DestinationAirportCityCountry
DL,"Jacksn Hole" "United States","Salt Lake City" "United States"
DL,"Jackson" "United States","Atlanta" "United States"
DL,"Jacksonville" "United States","Atlanta" "United States"
DL,"Jacksonville" "United States","Boston" "United States"
DL,"Jacksonville" "United States","Cincinnati" "United States"
DL,"Jacksonville" "United States","Detroit" "United States"
DL,"Jacksonville" "United States","New York" "United States"
DL,"Jacksonville" "United States","New York" "United States"
DL,"Jacksonville" "United States","Minneapolis" "United States"
DL,"New York" "United States","Accra" "Ghana"
DL,"New York" "United States","Amsterdam" "Netherlands"
DL,"New York" "United States","Atlanta" "United States"
DL,"New York" "United States","Oranjestad" "Aruba"
DL,"New York" "United States","Austin" "United States"
DL,"New York" "United States","Barcelona" "Spain"
DL,"New York" "United States","Bermuda" "Bermuda"
DL,"New York" "United States","Nashville" "United States"
DL,"New York" "United States","Bogota" "Colombia"
DL,"New York" "United States","Boston" "United States"
DL,"New York" "United States","Brussels" "Belgium"
DL,"New York" "United States","Buffalo" "United States"
DL,"New York" "United States","Baltimore" "United States"
DL,"New York" "United States","Paris" "France"
DL,"New York" "United States","Charleston" "United States"
DL,"New York" "United States","Cleveland" "United States"
DL,"New York" "United States","Charlotte" "United States"
DL,"New York" "United States","Columbus" "United States"
DL,"New York" "United States","Cancun" "Mexico"
DL,"New York" "United States","Cincinnati" "United States"
DL,"New York" "United States","Washington" "United States"
DL,"New York" "United States","Denver" "United States"
DL,"New York" "United States","Dallas-Fort Worth" "United States"
DL,"New York" "United States","Dakar" "Senegal"
DL,"New York" "United States","Detroit" "United States"
DL,"New York" "United States","Dublin" "Ireland"
DL,"New York" "United States","Rome" "Italy"
DL,"New York" "United States","Fort Lauderdale" "United States"
DL,"New York" "United States","Frankfurt" "Germany"
DL,"New York" "United States","Point Salines" "Grenada"
DL,"New York" "United States","Sao Paulo" "Brazil"
DL,"New York" "United States","Guatemala City" "Guatemala"
DL,"New York" "United States","Washington" "United States"
DL,"New York" "United States","Seoul" "South Korea"
DL,"New York" "United States","Indianapolis" "United States"
DL,"New York" "United States","Jacksonville" "United States"
DL,"New York" "United States","Las Vegas" "United States"
DL,"New York" "United States","Los Angeles" "United States"
DL,"New York" "United States","London" "United Kingdom"
DL,"New York" "United States","Liberia" "Costa Rica"
DL,"New York" "United States","Madrid" "Spain"
DL,"New York" "United States","Montego Bay" "Jamaica"
DL,"New York" "United States","Orlando" "United States"
DL,"New York" "United States","Mexico City" "Mexico"
DL,"New York" "United States","Miami" "United States"
DL,"New York" "United States","Minneapolis" "United States"
DL,"New York" "United States","New Orleans" "United States"
DL,"New York" "United States","Milano" "Italy"
DL,"New York" "United States","Nassau" "Bahamas"
DL,"New York" "United States","Nice" "France"
DL,"New York" "United States","Tokyo" "Japan"
DL,"New York" "United States","Chicago" "United States"
DL,"New York" "United States","Norfolk" "United States"
DL,"New York" "United States","Port-au-prince" "Haiti"
DL,"New York" "United States","Portland" "United States"
DL,"New York" "United States","Philadelphia" "United States"
DL,"New York" "United States","Phoenix" "United States"
DL,"New York" "United States","Pittsburgh" "United States"
DL,"New York" "United States","Providenciales" "Turks and Caicos Islands"
DL,"New York" "United States","Punta Cana" "Dominican Republic"
DL,"New York" "United States","Shanghai" "China"
DL,"New York" "United States","Raleigh-durham" "United States"
DL,"New York" "United States","Richmond" "United States"
DL,"New York" "United States","Rochester" "United States"
DL,"New York" "United States","San Diego" "United States"
DL,"New York" "United States","San Antonio" "United States"
DL,"New York" "United States","Savannah" "United States"
DL,"New York" "United States","Louisville" "United States"
DL,"New York" "United States","Santo Domingo" "Dominican Republic"
DL,"New York" "United States","Seattle" "United States"
DL,"New York" "United States","San Francisco" "United States"
DL,"New York" "United States","San Jose" "Costa Rica"
DL,"New York" "United States","San Juan" "Puerto Rico"
DL,"New York" "United States","Salt Lake City" "United States"
DL,"New York" "United States","Santiago" "Dominican Republic"
DL,"New York" "United States","St. Louis" "United States"
DL,"New York" "United States","St. Thomas" "Virgin Islands"
DL,"New York" "United States","Moscow" "Russia"
DL,"New York" "United States","Philipsburg" "Netherlands Antilles"
DL,"New York" "United States","Syracuse" "United States"
DL,"New York" "United States","Tel-aviv" "Israel"
DL,"New York" "United States","Tampa" "United States"
DL,"New York" "United States","Venice" "Italy"
DL,"New York" "United States","Montreal" "Canada"
DL,"New York" "United States","Calgary" "Canada"
DL,"New York" "United States","Toronto" "Canada"
DL,"Johannesburg" "South Africa","Atlanta" "United States"
DL,"Kilimanjaro" "Tanzania","Dar Es Salaam" "Tanzania"
DL,"Kigali" "Rwanda","Entebbe" "Uganda"
DL,"Kingston" "Jamaica","Atlanta" "United States"
DL,"Osaka" "Japan","Agana" "Guam"
DL,"Osaka" "Japan","Honolulu" "United States"
DL,"Kona" "United States","Los Angeles" "United States"
DL,"Kosice" "Slovakia","Bratislava" "Slovakia"
DL,"Kuwait" "Kuwait","Amsterdam" "Netherlands"
DL,"Kuwait" "Kuwait","Dammam" "Saudi Arabia"
DL,"Lansing" "United States","Atlanta" "United States"
DL,"Lansing" "United States","Detroit" "United States"
DL,"Lansing" "United States","Minneapolis" "United States"
DL,"Las Vegas" "United States","Atlanta" "United States"
DL,"Las Vegas" "United States","Boston" "United States"
DL,"Las Vegas" "United States","Cincinnati" "United States"
DL,"Las Vegas" "United States","Detroit" "United States"
DL,"Las Vegas" "United States","Seoul" "South Korea"
DL,"Las Vegas" "United States","New York" "United States"
DL,"Las Vegas" "United States","Los Angeles" "United States"
DL,"Las Vegas" "United States","London" "United Kingdom"
DL,"Las Vegas" "United States","Manchester" "United Kingdom"
DL,"Las Vegas" "United States","Orlando" "United States"
DL,"Las Vegas" "United States","Memphis" "United States"
DL,"Las Vegas" "United States","Mexico City" "Mexico"
DL,"Las Vegas" "United States","Minneapolis" "United States"
DL,"Las Vegas" "United States","Monterrey" "Mexico"
DL,"Las Vegas" "United States","Raleigh-durham" "United States"
DL,"Las Vegas" "United States","Seattle" "United States"
DL,"Las Vegas" "United States","Salt Lake City" "United States"
DL,"Las Vegas" "United States","Vancouver" "Canada"
DL,"Las Vegas" "United States","Calgary" "Canada"
DL,"Las Vegas" "United States","Toronto" "Canada"
DL,"Los Angeles" "United States","Amsterdam" "Netherlands"
DL,"Los Angeles" "United States","Atlanta" "United States"
DL,"Los Angeles" "United States","Del Bajio" "Mexico"
DL,"Los Angeles" "United States","Nashville" "United States"
DL,"Los Angeles" "United States","Brisbane" "Australia"
DL,"Los Angeles" "United States","Boston" "United States"
DL,"Los Angeles" "United States","Belize City" "Belize"
DL,"Los Angeles" "United States","Guangzhou" "China"
DL,"Los Angeles" "United States","Paris" "France"
DL,"Los Angeles" "United States","Columbus" "United States"
DL,"Los Angeles" "United States","Cancun" "Mexico"
DL,"Los Angeles" "United States","Cincinnati" "United States"
DL,"Los Angeles" "United States","Washington" "United States"
DL,"Los Angeles" "United States","Detroit" "United States"
DL,"Los Angeles" "United States","Rome" "Italy"
DL,"Los Angeles" "United States","Guadalajara" "Mexico"
DL,"Los Angeles" "United States","Spokane" "United States"
DL,"Los Angeles" "United States","Guatemala City" "Guatemala"
DL,"Los Angeles" "United States","Hermosillo" "Mexico"
DL,"Los Angeles" "United States","Tokyo" "Japan"
DL,"Los Angeles" "United States","Honolulu" "United States"
DL,"Los Angeles" "United States","Seoul" "South Korea"
DL,"Los Angeles" "United States","Indianapolis" "United States"
DL,"Los Angeles" "United States","New York" "United States"
DL,"Los Angeles" "United States","Kona" "United States"
DL,"Los Angeles" "United States","Las Vegas" "United States"
DL,"Los Angeles" "United States","London" "United Kingdom"
DL,"Los Angeles" "United States","Lihue" "United States"
DL,"Los Angeles" "United States","Liberia" "Costa Rica"
DL,"Los Angeles" "United States","Kansas City" "United States"
DL,"Los Angeles" "United States","Orlando" "United States"
DL,"Los Angeles" "United States","Melbourne" "Australia"
DL,"Los Angeles" "United States","Memphis" "United States"
DL,"Los Angeles" "United States","Mexico City" "Mexico"
DL,"Los Angeles" "United States","Miami" "United States"
DL,"Los Angeles" "United States","Minneapolis" "United States"
DL,"Los Angeles" "United States","New Orleans" "United States"
DL,"Los Angeles" "United States","Tokyo" "Japan"
DL,"Los Angeles" "United States","Oakland" "United States"
DL,"Los Angeles" "United States","Kahului" "United States"
DL,"Los Angeles" "United States","Portland" "United States"
DL,"Los Angeles" "United States","Phoenix" "United States"
DL,"Los Angeles" "United States","Papeete" "French Polynesia"
DL,"Los Angeles" "United States","Shanghai" "China"
DL,"Los Angeles" "United States","Puerto Vallarta" "Mexico"
DL,"Los Angeles" "United States","Raleigh-durham" "United States"
DL,"Los Angeles" "United States","San Diego" "United States"
DL,"Los Angeles" "United States","Seattle" "United States"
DL,"Los Angeles" "United States","San Francisco" "United States"
DL,"Los Angeles" "United States","San Jose" "United States"
DL,"Los Angeles" "United States","San Jose" "Costa Rica"
DL,"Los Angeles" "United States","Salt Lake City" "United States"
DL,"Los Angeles" "United States","Sacramento" "United States"
DL,"Los Angeles" "United States","Moscow" "Russia"
DL,"Los Angeles" "United States","Sydney" "Australia"
DL,"Los Angeles" "United States","Tampa" "United States"
DL,"Los Angeles" "United States","Taipei" "Taiwan"
DL,"Los Angeles" "United States","Edmonton" "Canada"
DL,"Los Angeles" "United States","Calgary" "Canada"
DL,"Lexington KY" "United States","Atlanta" "United States"
DL,"Lexington KY" "United States","Washington" "United States"
DL,"Lexington KY" "United States","Detroit" "United States"
DL,"Lexington KY" "United States","New York" "United States"
DL,"Lexington KY" "United States","Minneapolis" "United States"
DL,"Lafayette" "United States","Atlanta" "United States"
DL,"New York" "United States","Atlanta" "United States"
DL,"New York" "United States","Oranjestad" "Aruba"
DL,"New York" "United States","Bangor" "United States"
DL,"New York" "United States","Birmingham" "United States"
DL,"New York" "United States","Nashville" "United States"
DL,"New York" "United States","Boston" "United States"
DL,"New York" "United States","Burlington" "United States"
DL,"New York" "United States","Buffalo" "United States"
DL,"New York" "United States","Columbia" "United States"
DL,"New York" "United States","Charlottesville VA" "United States"
DL,"New York" "United States","Charleston" "United States"
DL,"New York" "United States","Cleveland" "United States"
DL,"New York" "United States","Charlotte" "United States"
DL,"New York" "United States","Columbus" "United States"
DL,"New York" "United States","Cincinnati" "United States"
DL,"New York" "United States","Dayton" "United States"
DL,"New York" "United States","Washington" "United States"
DL,"New York" "United States","Denver" "United States"
DL,"New York" "United States","Dallas-Fort Worth" "United States"
DL,"New York" "United States","Des Moines" "United States"
DL,"New York" "United States","Detroit" "United States"
DL,"New York" "United States","Key West" "United States"
DL,"New York" "United States","Fort Lauderdale" "United States"
DL,"New York" "United States","Grand Rapids" "United States"
DL,"New York" "United States","Greensboro" "United States"
DL,"New York" "United States","Greenville" "United States"
DL,"New York" "United States","Houston" "United States"
DL,"New York" "United States","Wilmington" "United States"
DL,"New York" "United States","Indianapolis" "United States"
DL,"New York" "United States","Jacksonville" "United States"
DL,"New York" "United States","Lexington KY" "United States"
DL,"New York" "United States","Kansas City" "United States"
DL,"New York" "United States","Orlando" "United States"
DL,"New York" "United States","Memphis" "United States"
DL,"New York" "United States","Manchester NH" "United States"
DL,"New York" "United States","Miami" "United States"
DL,"New York" "United States","Milwaukee" "United States"
DL,"New York" "United States","Madison" "United States"
DL,"New York" "United States","Minneapolis" "United States"
DL,"New York" "United States","New Orleans" "United States"
DL,"New York" "United States","Myrtle Beach" "United States"
DL,"New York" "United States","Omaha" "United States"
DL,"New York" "United States","Chicago" "United States"
DL,"New York" "United States","Norfolk" "United States"
DL,"New York" "United States","West Palm Beach" "United States"
DL,"New York" "United States","Pittsburgh" "United States"
DL,"New York" "United States","Portland" "United States"
DL,"New York" "United States","Raleigh-durham" "United States"
DL,"New York" "United States","Richmond" "United States"
DL,"New York" "United States","Rochester" "United States"
DL,"New York" "United States","Fort Myers" "United States"
DL,"New York" "United States","Savannah" "United States"
DL,"New York" "United States","Louisville" "United States"
DL,"New York" "United States","Sarasota" "United States"
DL,"New York" "United States","St. Louis" "United States"
DL,"New York" "United States","Syracuse" "United States"
DL,"New York" "United States","Tampa" "United States"
DL,"New York" "United States","Knoxville" "United States"
DL,"New York" "United States","Halifax" "Canada"
DL,"New York" "United States","Montreal" "Canada"
DL,"New York" "United States","Toronto" "Canada"
DL,"Long Beach" "United States","Salt Lake City" "United States"
DL,"London" "United Kingdom","Las Vegas" "United States"
DL,"London" "United Kingdom","Orlando" "United States"
DL,"London" "United Kingdom","Atlanta" "United States"
DL,"London" "United Kingdom","Boston" "United States"
DL,"London" "United Kingdom","Detroit" "United States"
DL,"London" "United Kingdom","Newark" "United States"
DL,"London" "United Kingdom","Washington" "United States"
DL,"London" "United Kingdom","New York" "United States"
DL,"London" "United Kingdom","Los Angeles" "United States"
DL,"London" "United Kingdom","Miami" "United States"
DL,"London" "United Kingdom","Minneapolis" "United States"
DL,"London" "United Kingdom","Chicago" "United States"
DL,"London" "United Kingdom","Seattle" "United States"
DL,"London" "United Kingdom","San Francisco" "United States"
DL,"Lihue" "United States","Los Angeles" "United States"
DL,"Lima" "Peru","Atlanta" "United States"
DL,"Liberia" "Costa Rica","Atlanta" "United States"
DL,"Liberia" "Costa Rica","New York" "United States"
DL,"Liberia" "Costa Rica","Los Angeles" "United States"
DL,"Little Rock" "United States","Atlanta" "United States"
DL,"Little Rock" "United States","Detroit" "United States"
DL,"Lincoln" "United States","Minneapolis" "United States"
DL,"Lagos" "Nigeria","Atlanta" "United States"
DL,"La Crosse" "United States","Minneapolis" "United States"
DL,"Lusaka" "Zambia","Amsterdam" "Netherlands"
DL,"Lewiston" "United States","Salt Lake City" "United States"
DL,"Madrid" "Spain","Atlanta" "United States"
DL,"Madrid" "Spain","New York" "United States"
DL,"Manchester" "United Kingdom","Atlanta" "United States"
DL,"Manchester" "United Kingdom","Las Vegas" "United States"
DL,"Manchester" "United Kingdom","Orlando" "United States"
DL,"Montego Bay" "Jamaica","Atlanta" "United States"
DL,"Montego Bay" "Jamaica","Detroit" "United States"
DL,"Montego Bay" "Jamaica","Indianapolis" "United States"
DL,"Montego Bay" "Jamaica","New York" "United States"
DL,"Saginaw" "United States","Atlanta" "United States"
DL,"Saginaw" "United States","Detroit" "United States"
DL,"Saginaw" "United States","Minneapolis" "United States"
DL,"Kansas City" "United States","Atlanta" "United States"
DL,"Kansas City" "United States","Cincinnati" "United States"
DL,"Kansas City" "United States","Detroit" "United States"
DL,"Kansas City" "United States","Los Angeles" "United States"
DL,"Kansas City" "United States","New York" "United States"
DL,"Kansas City" "United States","Orlando" "United States"
DL,"Kansas City" "United States","Memphis" "United States"
DL,"Kansas City" "United States","Minneapolis" "United States"
DL,"Kansas City" "United States","Salt Lake City" "United States"
DL,"Orlando" "United States","Atlanta" "United States"
DL,"Orlando" "United States","Austin" "United States"
DL,"Orlando" "United States","Windsor Locks" "United States"
DL,"Orlando" "United States","Birmingham" "United States"
DL,"Orlando" "United States","Nashville" "United States"
DL,"Orlando" "United States","Boston" "United States"
DL,"Orlando" "United States","Columbus" "United States"
DL,"Orlando" "United States","Cancun" "Mexico"
DL,"Orlando" "United States","Cincinnati" "United States"
DL,"Orlando" "United States","Detroit" "United States"
DL,"Orlando" "United States","Glasgow" "United Kingdom"
DL,"Orlando" "United States","Grand Rapids" "United States"
DL,"Orlando" "United States","White Plains" "United States"
DL,"Orlando" "United States","Indianapolis" "United States"
DL,"Orlando" "United States","New York" "United States"
DL,"Orlando" "United States","Las Vegas" "United States"
DL,"Orlando" "United States","Los Angeles" "United States"
DL,"Orlando" "United States","New York" "United States"
DL,"Orlando" "United States","London" "United Kingdom"
DL,"Orlando" "United States","Manchester" "United Kingdom"
DL,"Orlando" "United States","Kansas City" "United States"
DL,"Orlando" "United States","Memphis" "United States"
DL,"Orlando" "United States","Mexico City" "Mexico"
DL,"Orlando" "United States","Milwaukee" "United States"
DL,"Orlando" "United States","Minneapolis" "United States"
DL,"Orlando" "United States","Omaha" "United States"
DL,"Orlando" "United States","Norfolk" "United States"
DL,"Orlando" "United States","Pittsburgh" "United States"
DL,"Orlando" "United States","Raleigh-durham" "United States"
DL,"Orlando" "United States","Richmond" "United States"
DL,"Orlando" "United States","San Antonio" "United States"
DL,"Orlando" "United States","Louisville" "United States"
DL,"Orlando" "United States","Santo Domingo" "Dominican Republic"
DL,"Orlando" "United States","Salt Lake City" "United States"
DL,"Orlando" "United States","Toronto" "Canada"
DL,"Muscat" "Oman","Doha" "Qatar"
DL,"Harrisburg" "United States","Atlanta" "United States"
DL,"Harrisburg" "United States","Detroit" "United States"
DL,"Chicago" "United States","Atlanta" "United States"
DL,"Chicago" "United States","Detroit" "United States"
DL,"Chicago" "United States","Minneapolis" "United States"
DL,"Melbourne" "Australia","Los Angeles" "United States"
DL,"Memphis" "United States","Atlanta" "United States"
DL,"Memphis" "United States","Austin" "United States"
DL,"Memphis" "United States","Cincinnati" "United States"
DL,"Memphis" "United States","Washington" "United States"
DL,"Memphis" "United States","Denver" "United States"
DL,"Memphis" "United States","Dallas-Fort Worth" "United States"
DL,"Memphis" "United States","Detroit" "United States"
DL,"Memphis" "United States","Houston" "United States"
DL,"Memphis" "United States","Indianapolis" "United States"
DL,"Memphis" "United States","Las Vegas" "United States"
DL,"Memphis" "United States","Los Angeles" "United States"
DL,"Memphis" "United States","New York" "United States"
DL,"Memphis" "United States","Kansas City" "United States"
DL,"Memphis" "United States","Orlando" "United States"
DL,"Memphis" "United States","Minneapolis" "United States"
DL,"Memphis" "United States","New Orleans" "United States"
DL,"Memphis" "United States","Chicago" "United States"
DL,"Memphis" "United States","Pittsburgh" "United States"
DL,"Memphis" "United States","Raleigh-durham" "United States"
DL,"Memphis" "United States","San Antonio" "United States"
DL,"Memphis" "United States","Salt Lake City" "United States"
DL,"Mexico City" "Mexico","Acapulco" "Mexico"
DL,"Mexico City" "Mexico","Atlanta" "United States"
DL,"Mexico City" "Mexico","Dallas-Fort Worth" "United States"
DL,"Mexico City" "Mexico","Detroit" "United States"
DL,"Mexico City" "Mexico","Washington" "United States"
DL,"Mexico City" "Mexico","Houston" "United States"
DL,"Mexico City" "Mexico","New York" "United States"
DL,"Mexico City" "Mexico","Las Vegas" "United States"
DL,"Mexico City" "Mexico","Los Angeles" "United States"
DL,"Mexico City" "Mexico","Orlando" "United States"
DL,"Mexico City" "Mexico","Miami" "United States"
DL,"Mexico City" "Mexico","Merida" "Mexico"
DL,"Mexico City" "Mexico","Chicago" "United States"
DL,"Mexico City" "Mexico","San Antonio" "United States"
DL,"Mexico City" "Mexico","San Francisco" "United States"
DL,"Mexico City" "Mexico","Villahermosa" "Mexico"
DL,"Medford" "United States","Salt Lake City" "United States"
DL,"Managua" "Nicaragua","Atlanta" "United States"
DL,"MONTGOMERY" "United States","Atlanta" "United States"
DL,"Manchester NH" "United States","Atlanta" "United States"
DL,"Manchester NH" "United States","Detroit" "United States"
DL,"Manchester NH" "United States","New York" "United States"
DL,"Miami" "United States","Atlanta" "United States"
DL,"Miami" "United States","Paris" "France"
DL,"Miami" "United States","Detroit" "United States"
DL,"Miami" "United States","Rome" "Italy"
DL,"Miami" "United States","New York" "United States"
DL,"Miami" "United States","Los Angeles" "United States"
DL,"Miami" "United States","New York" "United States"
DL,"Miami" "United States","London" "United Kingdom"
DL,"Miami" "United States","Mexico City" "Mexico"
DL,"Miami" "United States","Merida" "Mexico"
DL,"Miami" "United States","Minneapolis" "United States"
DL,"Miami" "United States","Port-au-prince" "Haiti"
DL,"Miami" "United States","Santo Domingo" "Dominican Republic"
DL,"Miami" "United States","Moscow" "Russia"
DL,"Merida" "Mexico","Mexico City" "Mexico"
DL,"Merida" "Mexico","Miami" "United States"
DL,"Milwaukee" "United States","Atlanta" "United States"
DL,"Milwaukee" "United States","Cincinnati" "United States"
DL,"Milwaukee" "United States","Detroit" "United States"
DL,"Milwaukee" "United States","New York" "United States"
DL,"Milwaukee" "United States","Orlando" "United States"
DL,"Milwaukee" "United States","Minneapolis" "United States"
DL,"Melbourne" "United States","Atlanta" "United States"
DL,"Moline" "United States","Atlanta" "United States"
DL,"Moline" "United States","Detroit" "United States"
DL,"Moline" "United States","Minneapolis" "United States"
DL,"Monroe" "United States","Atlanta" "United States"
DL,"Manila" "Philippines","Nagoya" "Japan"
DL,"Manila" "Philippines","Tokyo" "Japan"
DL,"Mobile" "United States","Atlanta" "United States"
DL,"Minot" "United States","Minneapolis" "United States"
DL,"Gwinn" "United States","Detroit" "United States"
DL,"Marseille" "France","Paris" "France"
DL,"Madison" "United States","Atlanta" "United States"
DL,"Madison" "United States","Cincinnati" "United States"
DL,"Madison" "United States","Washington" "United States"
DL,"Madison" "United States","Detroit" "United States"
DL,"Madison" "United States","New York" "United States"
DL,"Madison" "United States","Minneapolis" "United States"
DL,"Madison" "United States","Salt Lake City" "United States"
DL,"Missoula" "United States","Minneapolis" "United States"
DL,"Missoula" "United States","Salt Lake City" "United States"
DL,"Minneapolis" "United States","Albuquerque" "United States"
DL,"Minneapolis" "United States","Aberdeen" "United States"
DL,"Minneapolis" "United States","Albany" "United States"
DL,"Minneapolis" "United States","Amsterdam" "Netherlands"
DL,"Minneapolis" "United States","Anchorage" "United States"
DL,"Minneapolis" "United States","Alpena" "United States"
DL,"Minneapolis" "United States","Atlanta" "United States"
DL,"Minneapolis" "United States","Appleton" "United States"
DL,"Minneapolis" "United States","Austin" "United States"
DL,"Minneapolis" "United States","Kalamazoo" "United States"
DL,"Minneapolis" "United States","Windsor Locks" "United States"
DL,"Minneapolis" "United States","Birmingham" "United States"
DL,"Minneapolis" "United States","Billings" "United States"
DL,"Minneapolis" "United States","Bismarck" "United States"
DL,"Minneapolis" "United States","Bemidji" "United States"
DL,"Minneapolis" "United States","Bloomington" "United States"
DL,"Minneapolis" "United States","Nashville" "United States"
DL,"Minneapolis" "United States","Boise" "United States"
DL,"Minneapolis" "United States","Boston" "United States"
DL,"Minneapolis" "United States","Brainerd" "United States"
DL,"Minneapolis" "United States","Buffalo" "United States"
DL,"Minneapolis" "United States","Baltimore" "United States"
DL,"Minneapolis" "United States","Bozeman" "United States"
DL,"Minneapolis" "United States","Paris" "France"
DL,"Minneapolis" "United States","Cedar Rapids" "United States"
DL,"Minneapolis" "United States","Cleveland" "United States"
DL,"Minneapolis" "United States","Charlotte" "United States"
DL,"Minneapolis" "United States","Columbus" "United States"
DL,"Minneapolis" "United States","Cancun" "Mexico"
DL,"Minneapolis" "United States","Cincinnati" "United States"
DL,"Minneapolis" "United States","Wassau" "United States"
DL,"Minneapolis" "United States","Dayton" "United States"
DL,"Minneapolis" "United States","Washington" "United States"
DL,"Minneapolis" "United States","Denver" "United States"
DL,"Minneapolis" "United States","Dallas-Fort Worth" "United States"
DL,"Minneapolis" "United States","Dickinson" "United States"
DL,"Minneapolis" "United States","Duluth" "United States"
DL,"Minneapolis" "United States","Des Moines" "United States"
DL,"Minneapolis" "United States","Detroit" "United States"
DL,"Minneapolis" "United States","Newark" "United States"
DL,"Minneapolis" "United States","Fargo" "United States"
DL,"Minneapolis" "United States","Kalispell" "United States"
DL,"Minneapolis" "United States","Fort Lauderdale" "United States"
DL,"Minneapolis" "United States","Flint" "United States"
DL,"Minneapolis" "United States","Sioux Falls" "United States"
DL,"Minneapolis" "United States","Fort Wayne" "United States"
DL,"Minneapolis" "United States","Spokane" "United States"
DL,"Minneapolis" "United States","Grand Forks" "United States"
DL,"Minneapolis" "United States","Green Bay" "United States"
DL,"Minneapolis" "United States","Grand Rapids" "United States"
DL,"Minneapolis" "United States","Great Falls" "United States"
DL,"Minneapolis" "United States","Hibbing" "United States"
DL,"Minneapolis" "United States","Helena" "United States"
DL,"Minneapolis" "United States","Washington" "United States"
DL,"Minneapolis" "United States","Houston" "United States"
DL,"Minneapolis" "United States","Wichita" "United States"
DL,"Minneapolis" "United States","Iron Mountain" "United States"
DL,"Minneapolis" "United States","Indianapolis" "United States"
DL,"Minneapolis" "United States","International Falls" "United States"
DL,"Minneapolis" "United States","Williston" "United States"
DL,"Minneapolis" "United States","Jacksonville" "United States"
DL,"Minneapolis" "United States","New York" "United States"
DL,"Minneapolis" "United States","Lansing" "United States"
DL,"Minneapolis" "United States","Las Vegas" "United States"
DL,"Minneapolis" "United States","Los Angeles" "United States"
DL,"Minneapolis" "United States","Lexington KY" "United States"
DL,"Minneapolis" "United States","New York" "United States"
DL,"Minneapolis" "United States","London" "United Kingdom"
DL,"Minneapolis" "United States","Lincoln" "United States"
DL,"Minneapolis" "United States","La Crosse" "United States"
DL,"Minneapolis" "United States","Saginaw" "United States"
DL,"Minneapolis" "United States","Kansas City" "United States"
DL,"Minneapolis" "United States","Orlando" "United States"
DL,"Minneapolis" "United States","Chicago" "United States"
DL,"Minneapolis" "United States","Memphis" "United States"
DL,"Minneapolis" "United States","Miami" "United States"
DL,"Minneapolis" "United States","Milwaukee" "United States"
DL,"Minneapolis" "United States","Moline" "United States"
DL,"Minneapolis" "United States","Minot" "United States"
DL,"Minneapolis" "United States","Madison" "United States"
DL,"Minneapolis" "United States","Missoula" "United States"
DL,"Minneapolis" "United States","New Orleans" "United States"
DL,"Minneapolis" "United States","Tokyo" "Japan"
DL,"Minneapolis" "United States","Oklahoma City" "United States"
DL,"Minneapolis" "United States","Omaha" "United States"
DL,"Minneapolis" "United States","Chicago" "United States"
DL,"Minneapolis" "United States","Norfolk" "United States"
DL,"Minneapolis" "United States","Portland" "United States"
DL,"Minneapolis" "United States","Philadelphia" "United States"
DL,"Minneapolis" "United States","Phoenix" "United States"
DL,"Minneapolis" "United States","Peoria" "United States"
DL,"Minneapolis" "United States","Pittsburgh" "United States"
DL,"Minneapolis" "United States","Pasco" "United States"
DL,"Minneapolis" "United States","Palm Springs" "United States"
DL,"Minneapolis" "United States","Rapid City" "United States"
DL,"Minneapolis" "United States","Raleigh-durham" "United States"
DL,"Minneapolis" "United States","Rhinelander" "United States"
DL,"Minneapolis" "United States","Richmond" "United States"
DL,"Minneapolis" "United States","Rochester" "United States"
DL,"Minneapolis" "United States","Rochester" "United States"
DL,"Minneapolis" "United States","Fort Myers" "United States"
DL,"Minneapolis" "United States","San Diego" "United States"
DL,"Minneapolis" "United States","San Antonio" "United States"
DL,"Minneapolis" "United States","South Bend" "United States"
DL,"Minneapolis" "United States","Louisville" "United States"
DL,"Minneapolis" "United States","Seattle" "United States"
DL,"Minneapolis" "United States","San Francisco" "United States"
DL,"Minneapolis" "United States","San Jose" "United States"
DL,"Minneapolis" "United States","Salt Lake City" "United States"
DL,"Minneapolis" "United States","Sacramento" "United States"
DL,"Minneapolis" "United States","Santa Ana" "United States"
DL,"Minneapolis" "United States","St. Louis" "United States"
DL,"Minneapolis" "United States","Syracuse" "United States"
DL,"Minneapolis" "United States","Tampa" "United States"
DL,"Minneapolis" "United States","Tulsa" "United States"
DL,"Minneapolis" "United States","Tucson" "United States"
DL,"Minneapolis" "United States","Traverse City" "United States"
DL,"Minneapolis" "United States","Knoxville" "United States"
DL,"Minneapolis" "United States","Bentonville" "United States"
DL,"Minneapolis" "United States","Edmonton" "Canada"
DL,"Minneapolis" "United States","Regina" "Canada"
DL,"Minneapolis" "United States","Montreal" "Canada"
DL,"Minneapolis" "United States","Vancouver" "Canada"
DL,"Minneapolis" "United States","Winnipeg" "Canada"
DL,"Minneapolis" "United States","Saskatoon" "Canada"
DL,"Minneapolis" "United States","Calgary" "Canada"
DL,"Minneapolis" "United States","Toronto" "Canada"
DL,"New Orleans" "United States","Atlanta" "United States"
DL,"New Orleans" "United States","Cincinnati" "United States"
DL,"New Orleans" "United States","Detroit" "United States"
DL,"New Orleans" "United States","New York" "United States"
DL,"New Orleans" "United States","Los Angeles" "United States"
DL,"New Orleans" "United States","New York" "United States"
DL,"New Orleans" "United States","Memphis" "United States"
